Year;Month;Day;Tmax;Tavg;Tmin;DewMax;DewAvg;DewMin;Hmax;Havg;Hmin;WindMax;WindAvg;WindMin;Pmax;Pavg;Pmin;PreMax;PreAvg;PreMin
1999;2;20;7;3;0;5;3;0;100;-;87;21;-;0;1014;-;1010;-;0.00;-
1999;2;21;7;3;1;4;2;0;100;-;66;26;-;2;1012;-;1003;-;0.00;-
1999;2;22;4;2;1;3;2;-1;100;-;75;39;-;0;1002;-;992;-;0.00;-
1999;2;23;4;2;1;1;-1;-2;93;-;70;39;-;10;1000;-;991;-;0.00;-
1999;2;24;3;2;1;2;-4;-95;100;-;65;37;-;6;1008;-;1000;-;0.00;-
1999;2;25;4;1;-2;-1;-2;-2;100;-;65;39;-;3;1018;-;1008;-;0.00;-
1999;2;26;7;1;-5;0;-2;-5;100;-;57;23;-;0;1019;-;1017;-;0.00;-
1999;2;27;13;7;1;3;1;-2;93;-;51;16;-;0;1018;-;1016;-;0.00;-
1999;2;28;11;3;-3;4;1;-3;100;-;62;8;-;0;1021;-;1017;-;0.00;-
1999;3;1;13;6;-2;5;2;-3;100;-;54;23;-;0;1022;-;1014;-;0.00;-
1999;3;2;12;8;5;8;6;3;93;-;67;29;-;0;1014;-;1010;-;0.00;-
1999;3;3;15;10;6;8;7;5;93;-;63;26;-;6;1009;-;1006;-;0.00;-
1999;3;4;17;12;8;9;6;4;87;-;55;26;-;10;1006;-;999;-;0.00;-
1999;3;5;12;8;4;10;6;2;100;-;62;24;-;3;1000;-;992;-;0.00;-
1999;3;6;8;4;1;8;5;1;100;-;87;10;-;0;1006;-;999;-;0.00;-
1999;3;7;6;3;2;5;3;2;100;-;93;19;-;0;1008;-;1004;-;0.00;-
1999;3;8;8;4;-1;4;1;-3;100;-;57;29;-;0;1013;-;1008;-;0.00;-
1999;3;9;9;3;-2;5;2;-2;100;-;71;16;-;0;1013;-;1002;-;0.00;-
1999;3;10;15;8;2;8;6;2;100;-;59;19;-;0;1014;-;1011;-;0.00;-
1999;3;11;11;7;3;8;2;-2;100;-;57;37;-;0;1019;-;1010;-;0.00;-
1999;3;12;10;3;-4;3;0;-4;100;-;54;16;-;0;1022;-;1019;-;0.00;-
1999;3;13;9;3;-3;2;0;-3;100;-;62;16;-;3;1023;-;1019;-;0.00;-
1999;3;14;6;1;-4;0;-2;-5;93;-;65;10;-;0;1027;-;1024;-;0.00;-
1999;3;15;8;3;-2;3;1;-3;100;-;66;23;-;0;1026;-;1022;-;0.00;-
1999;3;16;4;1;-2;2;-1;-4;100;-;70;14;-;0;1027;-;1016;-;0.00;-
1999;3;17;7;3;0;-1;-3;-4;80;-;57;32;-;10;1028;-;1026;-;0.00;-
1999;3;18;7;2;-2;-1;-3;-5;80;-;57;23;-;3;1026;-;1017;-;0.00;-
1999;3;19;8;3;-1;0;-3;-4;80;-;53;19;-;0;1017;-;1012;-;0.00;-
1999;3;20;11;3;-4;2;-1;-4;100;-;54;34;-;0;1014;-;1012;-;0.00;-
1999;3;21;9;4;0;4;2;-1;93;-;61;26;-;8;1014;-;1011;-;0.00;-
1999;3;22;12;4;-2;4;2;-2;100;-;51;24;-;0;1010;-;1006;-;0.00;-
1999;3;23;13;9;5;5;3;1;93;-;54;27;-;0;1011;-;1008;-;0.00;-
1999;3;24;13;8;4;5;3;1;87;-;58;34;-;3;1017;-;1011;-;0.00;-
1999;3;25;19;9;0;8;4;-1;100;-;49;26;-;0;1018;-;1012;-;0.00;-
1999;3;26;18;11;4;8;5;1;87;-;49;27;-;6;1012;-;1008;-;0.00;-
1999;3;27;20;13;6;9;6;3;82;-;49;35;-;3;1008;-;1003;-;0.00;-
1999;3;28;14;10;7;7;6;3;82;-;63;23;-;0;1009;-;1004;-;0.00;-
1999;3;29;15;11;8;10;8;6;100;-;63;13;-;0;1014;-;1009;-;0.00;-
1999;3;30;16;12;8;9;7;5;100;-;55;14;-;0;1016;-;1014;-;0.00;-
1999;3;31;19;13;7;8;6;3;100;-;46;16;-;0;1016;-;1014;-;0.00;-
1999;4;1;17;11;6;8;6;3;82;-;52;26;-;0;1015;-;1013;-;0.00;-
1999;4;2;14;10;6;6;4;1;76;-;54;24;-;0;1014;-;1012;-;0.00;-
1999;4;3;20;14;6;8;6;0;76;-;43;26;-;0;1018;-;1013;-;0.00;-
1999;4;4;21;12;3;8;4;-1;81;-;43;13;-;0;1020;-;1018;-;0.00;-
1999;4;5;20;14;8;10;7;2;82;-;49;29;-;0;1025;-;1019;-;0.00;-
1999;4;6;20;15;10;10;8;6;88;-;49;23;-;0;1026;-;1019;-;0.00;-
1999;4;7;22;13;5;12;8;4;100;-;49;27;-;0;1018;-;1006;-;0.00;-
1999;4;8;16;13;9;10;9;8;94;-;59;26;-;10;1016;-;1008;-;0.00;-
1999;4;9;19;12;6;8;6;4;100;-;49;23;-;3;1020;-;1017;-;0.00;-
1999;4;10;19;12;6;8;5;2;81;-;49;14;-;2;1020;-;1012;-;0.00;-
1999;4;11;15;12;10;10;9;5;94;-;67;19;-;3;1012;-;1006;-;0.00;-
1999;4;12;15;12;9;10;7;4;94;-;51;34;-;3;1009;-;1003;-;0.00;-
1999;4;13;15;11;8;10;8;5;94;-;67;23;-;6;1003;-;998;-;0.00;-
1999;4;14;16;11;6;8;5;1;100;-;48;37;-;3;1007;-;999;-;0.00;-
1999;4;15;21;13;5;9;6;1;81;-;46;29;-;3;1010;-;1008;-;0.00;-
1999;4;16;23;17;10;12;9;5;82;-;49;37;-;6;1009;-;1001;-;0.00;-
1999;4;17;19;11;3;14;9;3;100;-;56;34;-;0;1007;-;994;-;0.00;-
1999;4;18;6;3;0;6;4;0;100;-;93;26;-;0;1008;-;1005;-;0.00;-
1999;4;19;13;8;4;5;3;0;100;-;51;37;-;8;1013;-;1008;-;0.00;-
1999;4;20;13;7;1;3;2;0;93;-;51;32;-;2;1015;-;1013;-;0.00;-
1999;4;21;15;7;-1;9;5;-1;100;-;55;32;-;3;1015;-;1014;-;0.00;-
1999;4;22;17;13;10;12;11;9;100;-;63;19;-;2;1016;-;1013;-;0.00;-
1999;4;23;18;14;10;13;11;9;100;-;68;19;-;0;1016;-;1011;-;0.00;-
1999;4;24;16;13;11;13;12;11;100;-;77;14;-;2;1012;-;1010;-;0.00;-
1999;4;25;15;12;9;13;12;8;100;-;82;16;-;0;1013;-;1011;-;0.00;-
1999;4;26;19;13;8;14;11;8;100;-;60;23;-;0;1014;-;1012;-;0.00;-
1999;4;27;20;14;9;13;11;8;100;-;60;19;-;0;1015;-;1014;-;0.00;-
1999;4;28;20;14;9;13;11;8;100;-;60;24;-;0;1017;-;1014;-;0.00;-
1999;4;29;22;14;7;12;11;7;100;-;49;19;-;0;1015;-;1010;-;0.00;-
1999;4;30;20;14;8;12;11;8;100;-;60;21;-;0;1013;-;1010;-;0.00;-
1999;5;1;23;14;7;15;12;7;100;-;57;26;-;0;1016;-;1013;-;0.00;-
1999;5;2;23;17;10;14;12;9;100;-;52;26;-;0;1018;-;1014;-;0.00;-
1999;5;3;22;14;7;12;10;7;100;-;52;14;-;0;1021;-;1016;-;0.00;-
1999;5;4;20;16;11;13;11;6;100;-;59;29;-;0;1017;-;1014;-;0.00;-
1999;5;5;14;11;9;9;7;5;94;-;63;21;-;2;1018;-;1012;-;0.00;-
1999;5;6;15;9;4;7;4;0;100;-;55;29;-;3;1024;-;1019;-;0.00;-
1999;5;7;13;9;6;8;7;5;100;-;63;19;-;0;1024;-;1018;-;0.00;-
1999;5;8;19;14;9;11;8;4;82;-;56;16;-;0;1018;-;1014;-;0.00;-
1999;5;9;21;16;10;14;11;9;100;-;56;16;-;0;1018;-;1014;-;0.00;-
1999;5;10;23;16;9;14;11;9;100;-;50;19;-;0;1020;-;1017;-;0.00;-
1999;5;11;22;16;10;14;12;10;100;-;53;26;-;0;1017;-;1011;-;0.00;-
1999;5;12;21;16;12;13;12;10;94;-;56;23;-;0;1011;-;1009;-;0.00;-
1999;5;13;21;16;11;14;12;10;100;-;56;34;-;0;1012;-;1010;-;0.00;-
1999;5;14;14;11;8;14;11;8;100;-;93;21;-;0;1012;-;1007;-;0.00;-
1999;5;15;19;14;10;14;11;9;100;-;59;27;-;0;1009;-;1007;-;0.00;-
1999;5;16;15;12;9;10;6;5;88;-;62;35;-;3;1015;-;1009;-;0.00;-
1999;5;17;18;10;3;8;7;2;100;-;52;14;-;0;1020;-;1016;-;0.00;-
1999;5;18;16;11;6;10;8;6;100;-;55;16;-;0;1024;-;1020;-;0.00;-
1999;5;19;20;12;4;9;7;4;100;-;49;24;-;0;1025;-;1019;-;0.00;-
1999;5;20;24;14;6;15;11;6;100;-;53;26;-;0;1019;-;1007;-;0.00;-
1999;5;21;22;17;12;15;13;11;100;-;53;21;-;2;1017;-;1004;-;0.00;-
1999;5;22;22;17;12;16;14;11;100;-;60;27;-;2;1012;-;1009;-;0.00;-
1999;5;23;18;16;14;15;14;13;100;-;77;19;-;0;1020;-;1011;-;0.00;-
1999;5;24;21;16;10;13;11;8;100;-;49;11;-;0;1022;-;1019;-;0.00;-
1999;5;25;23;14;6;13;11;6;100;-;50;14;-;0;1019;-;1014;-;0.00;-
1999;5;26;26;18;10;15;13;9;100;-;50;21;-;0;1019;-;1015;-;0.00;-
1999;5;27;25;18;10;15;13;10;100;-;53;14;-;0;1023;-;1019;-;0.00;-
1999;5;28;27;21;15;16;14;13;100;-;48;13;-;0;1024;-;1022;-;0.00;-
1999;5;29;29;20;12;17;14;11;100;-;48;19;-;0;1024;-;1020;-;0.00;-
1999;5;30;30;21;13;18;16;13;100;-;43;16;-;0;1020;-;1015;-;0.00;-
1999;5;31;30;22;14;20;17;14;100;-;48;23;-;0;1017;-;1015;-;0.00;-
1999;6;1;26;20;15;18;15;12;100;-;51;26;-;0;1020;-;1016;-;0.00;-
1999;6;2;28;19;11;17;14;5;100;-;33;13;-;0;1020;-;1013;-;0.00;-
1999;6;3;25;20;15;18;16;14;94;-;53;45;-;0;1013;-;1010;-;0.00;-
1999;6;4;26;18;11;19;16;11;100;-;57;29;-;0;1013;-;1007;-;0.00;-
1999;6;5;22;18;15;18;16;15;100;-;69;16;-;3;1012;-;1010;-;0.00;-
1999;6;6;27;20;13;18;17;13;100;-;54;24;-;8;1014;-;1013;-;0.00;-
1999;6;7;30;23;16;20;18;16;100;-;48;21;-;2;1018;-;1014;-;0.00;-
1999;6;8;28;22;16;21;18;12;94;-;58;42;-;0;1019;-;1015;-;0.00;-
1999;6;9;24;19;14;19;15;12;100;-;61;37;-;3;1024;-;1019;-;0.00;-
1999;6;10;25;19;13;18;17;13;100;-;57;10;-;0;1024;-;1019;-;0.00;-
1999;6;11;29;22;16;19;18;15;100;-;54;21;-;0;1019;-;1014;-;0.00;-
1999;6;12;22;19;16;19;17;15;100;-;78;23;-;3;1018;-;1014;-;0.00;-
1999;6;13;21;17;14;18;17;14;100;-;78;26;-;6;1017;-;1016;-;0.00;-
1999;6;14;26;21;17;19;17;16;100;-;57;13;-;0;1019;-;1016;-;0.00;-
1999;6;15;26;21;16;19;18;16;100;-;61;24;-;0;1019;-;1017;-;0.00;-
1999;6;16;26;21;16;19;18;16;100;-;65;16;-;0;1020;-;1017;-;0.00;-
1999;6;17;22;19;16;20;18;16;100;-;83;19;-;2;1018;-;1011;-;0.00;-
1999;6;18;22;19;16;20;17;15;100;-;73;27;-;0;1012;-;1009;-;0.00;-
1999;6;19;22;18;14;17;15;13;100;-;68;24;-;8;1016;-;1012;-;0.00;-
1999;6;20;26;20;14;18;16;13;100;-;57;11;-;0;1016;-;1011;-;0.00;-
1999;6;21;24;19;14;18;16;14;100;-;65;23;-;0;1011;-;1000;-;0.00;-
1999;6;22;16;13;10;16;12;9;100;-;88;40;-;6;1008;-;998;-;0.00;-
1999;6;23;18;14;10;10;9;8;100;-;59;45;-;8;1019;-;1007;-;0.00;-
1999;6;24;18;14;10;12;11;10;100;-;64;11;-;0;1021;-;1019;-;0.00;-
1999;6;25;23;14;7;11;10;6;100;-;47;14;-;0;1021;-;1018;-;0.00;-
1999;6;26;25;17;8;13;12;8;100;-;47;13;-;0;1018;-;1014;-;0.00;-
1999;6;27;26;18;11;16;14;11;100;-;51;14;-;0;1015;-;1012;-;0.00;-
1999;6;28;29;22;15;19;17;14;100;-;48;16;-;0;1016;-;1012;-;0.00;-
1999;6;29;28;22;17;18;17;16;100;-;54;16;-;2;1019;-;1016;-;0.00;-
1999;6;30;29;22;15;19;17;14;100;-;48;13;-;0;1017;-;1014;-;0.00;-
1999;7;1;28;23;18;20;18;16;100;-;54;24;-;0;1016;-;1013;-;0.00;-
1999;7;2;27;21;16;18;17;14;100;-;51;23;-;2;1015;-;1013;-;0.00;-
1999;7;3;28;21;14;18;17;14;100;-;51;13;-;0;1015;-;1014;-;0.00;-
1999;7;4;31;23;15;20;18;15;100;-;48;11;-;0;1015;-;1014;-;0.00;-
1999;7;5;32;24;18;20;19;17;94;-;49;21;-;2;1015;-;1013;-;0.00;-
1999;7;6;34;27;19;22;20;18;94;-;46;23;-;0;1013;-;1011;-;0.00;-
1999;7;7;28;23;18;20;19;17;100;-;58;37;-;0;1015;-;1011;-;0.00;-
1999;7;8;25;21;17;18;17;16;100;-;65;26;-;3;1016;-;1013;-;0.00;-
1999;7;9;24;20;17;20;18;10;100;-;49;21;-;2;1017;-;1014;-;0.00;-
1999;7;10;27;22;18;21;19;17;100;-;69;23;-;0;1016;-;1012;-;0.00;-
1999;7;11;26;21;17;20;18;16;100;-;65;32;-;0;1017;-;1014;-;0.00;-
1999;7;12;25;21;17;20;18;16;100;-;74;34;-;2;1016;-;1013;-;0.00;-
1999;7;13;26;21;17;20;18;17;100;-;65;16;-;2;1012;-;1008;-;0.00;-
1999;7;14;25;21;17;20;18;15;100;-;65;27;-;2;1007;-;1003;-;0.00;-
1999;7;15;23;19;14;16;14;11;94;-;50;37;-;3;1013;-;1007;-;0.00;-
1999;7;16;24;18;13;13;13;12;94;-;50;26;-;0;1018;-;1013;-;0.00;-
1999;7;17;25;18;12;15;14;11;100;-;50;13;-;0;1020;-;1018;-;0.00;-
1999;7;18;26;19;12;16;14;12;100;-;47;10;-;0;1020;-;1018;-;0.00;-
1999;7;19;27;20;13;16;14;12;100;-;47;10;-;0;1020;-;1017;-;0.00;-
1999;7;20;28;20;12;16;15;12;100;-;48;14;-;0;1017;-;1014;-;0.00;-
1999;7;21;29;22;15;23;18;15;100;-;58;23;-;0;1016;-;1012;-;0.00;-
1999;7;22;25;20;16;20;16;13;100;-;57;26;-;0;1013;-;1010;-;0.00;-
1999;7;23;17;16;14;15;14;13;100;-;82;29;-;3;1013;-;1008;-;0.00;-
1999;7;24;21;18;15;17;15;13;94;-;68;14;-;2;1019;-;1017;-;0.00;-
1999;7;25;27;21;15;19;17;15;100;-;61;13;-;0;1019;-;1014;-;0.00;-
1999;7;26;26;21;17;20;18;15;100;-;64;24;-;0;1015;-;1012;-;0.00;-
1999;7;27;26;21;17;21;18;16;100;-;69;21;-;0;1014;-;1012;-;0.00;-
1999;7;28;27;22;17;19;18;16;100;-;58;23;-;0;1015;-;1012;-;0.00;-
1999;7;29;24;19;15;18;14;11;100;-;44;21;-;0;1014;-;1013;-;0.00;-
1999;7;30;23;18;14;14;13;11;82;-;53;27;-;8;1014;-;1012;-;0.00;-
1999;7;31;25;19;13;17;13;12;94;-;53;21;-;3;1014;-;1012;-;0.00;-
1999;8;1;24;19;14;17;14;13;100;-;53;23;-;2;1015;-;1014;-;0.00;-
1999;8;2;24;19;14;15;14;14;100;-;53;16;-;0;1016;-;1014;-;0.00;-
1999;8;3;24;18;12;16;14;12;100;-;53;11;-;0;1015;-;1014;-;0.00;-
1999;8;4;25;18;12;18;15;12;100;-;54;14;-;0;1016;-;1014;-;0.00;-
1999;8;5;26;19;12;17;15;12;100;-;51;11;-;0;1016;-;1014;-;0.00;-
1999;8;6;28;22;16;21;18;16;100;-;61;14;-;0;1015;-;1010;-;0.00;-
1999;8;7;29;23;17;21;19;11;100;-;44;16;-;0;1016;-;1006;-;0.00;-
1999;8;8;28;22;16;22;19;16;100;-;61;14;-;0;1007;-;1004;-;0.00;-
1999;8;9;31;24;18;22;20;18;100;-;51;19;-;0;1008;-;1005;-;0.00;-
1999;8;10;31;24;18;24;19;17;100;-;51;39;-;0;1012;-;1008;-;0.00;-
1999;8;11;25;20;16;17;16;15;100;-;57;21;-;0;1015;-;1012;-;0.00;-
1999;8;12;25;20;15;16;15;13;100;-;54;19;-;2;1014;-;1011;-;0.00;-
1999;8;13;18;17;15;17;16;14;100;-;83;13;-;0;1012;-;1010;-;0.00;-
1999;8;14;22;16;9;14;11;8;100;-;49;19;-;0;1013;-;1010;-;0.00;-
1999;8;15;26;18;10;16;13;10;100;-;51;19;-;0;1014;-;1009;-;0.00;-
1999;8;16;22;18;15;15;14;13;100;-;60;29;-;0;1013;-;1007;-;0.00;-
1999;8;17;24;19;14;16;15;14;100;-;57;26;-;0;1011;-;1004;-;0.00;-
1999;8;18;25;20;16;18;17;15;100;-;57;14;-;0;1012;-;1010;-;0.00;-
1999;8;19;26;20;15;19;17;15;100;-;54;24;-;0;1016;-;1010;-;0.00;-
1999;8;20;22;19;16;18;17;15;100;-;73;21;-;0;1018;-;1015;-;0.00;-
1999;8;21;23;18;14;16;13;12;100;-;53;26;-;0;1017;-;1015;-;0.00;-
1999;8;22;22;16;11;13;11;9;100;-;49;26;-;0;1018;-;1015;-;0.00;-
1999;8;23;22;14;7;12;10;7;100;-;50;10;-;0;1020;-;1019;-;0.00;-
1999;8;24;22;16;10;15;11;9;100;-;49;10;-;0;1021;-;1020;-;0.00;-
1999;8;25;24;16;8;14;11;7;100;-;47;14;-;0;1022;-;1020;-;0.00;-
1999;8;26;23;16;9;12;11;8;100;-;50;13;-;0;1022;-;1020;-;0.00;-
1999;8;27;21;14;9;15;12;9;100;-;56;13;-;0;1022;-;1019;-;0.00;-
1999;8;28;24;18;13;15;14;13;100;-;50;8;-;0;1020;-;1018;-;0.00;-
1999;8;29;24;17;11;16;14;11;100;-;53;13;-;0;1019;-;1015;-;0.00;-
1999;8;30;22;19;17;17;16;15;100;-;68;16;-;6;1015;-;1013;-;0.00;-
1999;8;31;20;17;13;17;16;13;100;-;78;14;-;0;1014;-;1012;-;0.00;-
1999;9;1;22;16;11;14;12;10;100;-;53;34;-;0;1014;-;1012;-;0.00;-
1999;9;2;19;13;8;13;11;8;100;-;60;16;-;2;1018;-;1014;-;0.00;-
1999;9;3;24;18;13;17;14;12;100;-;57;27;-;0;1020;-;1016;-;0.00;-
1999;9;4;20;16;12;15;13;11;100;-;68;13;-;0;1022;-;1020;-;0.00;-
1999;9;5;23;16;9;12;11;9;100;-;46;16;-;0;1023;-;1018;-;0.00;-
1999;9;6;23;17;10;13;12;10;100;-;50;11;-;0;1019;-;1016;-;0.00;-
1999;9;7;24;17;9;14;12;8;100;-;47;8;-;0;1017;-;1015;-;0.00;-
1999;9;8;23;17;11;15;13;10;100;-;57;29;-;0;1018;-;1015;-;0.00;-
1999;9;9;26;20;14;19;14;13;100;-;51;27;-;0;1020;-;1017;-;0.00;-
1999;9;10;26;20;15;16;14;13;94;-;51;26;-;3;1023;-;1021;-;0.00;-
1999;9;11;25;19;13;15;13;10;100;-;50;13;-;0;1024;-;1020;-;0.00;-
1999;9;12;25;18;12;15;13;11;100;-;50;16;-;0;1020;-;1016;-;0.00;-
1999;9;13;25;18;10;16;13;10;100;-;50;6;-;0;1016;-;1013;-;0.00;-
1999;9;14;25;17;9;14;12;9;100;-;50;13;-;0;1015;-;1013;-;0.00;-
1999;9;15;25;18;11;15;13;11;100;-;50;10;-;0;1015;-;1012;-;0.00;-
1999;9;16;26;18;10;16;12;7;100;-;51;10;-;0;1012;-;1010;-;0.00;-
1999;9;17;26;18;11;16;14;11;100;-;51;8;-;0;1012;-;1010;-;0.00;-
1999;9;18;25;19;13;16;14;13;100;-;57;16;-;0;1013;-;1011;-;0.00;-
1999;9;19;24;20;16;16;15;13;94;-;57;29;-;11;1012;-;1011;-;0.00;-
1999;9;20;24;19;14;17;14;12;94;-;61;26;-;11;1014;-;1011;-;0.00;-
1999;9;21;21;18;15;16;14;12;100;-;60;29;-;3;1012;-;1009;-;0.00;-
1999;9;22;20;16;12;16;14;11;100;-;68;10;-;0;1016;-;1012;-;0.00;-
1999;9;23;24;17;10;16;13;9;100;-;53;16;-;0;1018;-;1015;-;0.00;-
1999;9;24;26;20;14;16;15;13;100;-;54;10;-;0;1019;-;1016;-;0.00;-
1999;9;25;26;18;10;17;14;10;100;-;54;24;-;0;1019;-;1011;-;0.00;-
1999;9;26;29;21;13;17;16;13;100;-;48;29;-;3;1012;-;1007;-;0.00;-
1999;9;27;24;19;14;16;14;13;100;-;53;35;-;0;1014;-;1009;-;0.00;-
1999;9;28;23;18;13;16;14;13;100;-;60;14;-;0;1011;-;1006;-;0.00;-
1999;9;29;21;16;11;15;12;10;100;-;52;39;-;0;1011;-;1007;-;0.00;-
1999;9;30;23;16;9;13;11;9;100;-;53;27;-;2;1010;-;1004;-;0.00;-
1999;10;1;20;14;8;12;10;8;100;-;56;27;-;0;1015;-;1005;-;0.00;-
1999;10;2;23;14;5;12;9;5;100;-;50;19;-;0;1017;-;1012;-;0.00;-
1999;10;3;25;18;10;14;12;9;100;-;50;29;-;3;1012;-;1008;-;0.00;-
1999;10;4;14;12;10;13;10;9;100;-;82;29;-;2;1011;-;1009;-;0.00;-
1999;10;5;13;11;9;12;10;9;100;-;88;19;-;0;1014;-;1009;-;0.00;-
1999;10;6;12;10;8;10;9;7;100;-;82;19;-;0;1021;-;1014;-;0.00;-
1999;10;7;14;9;4;8;6;4;100;-;63;24;-;0;1026;-;1021;-;0.00;-
1999;10;8;15;8;2;8;5;2;100;-;55;16;-;0;1026;-;1023;-;0.00;-
1999;10;9;13;8;3;11;7;3;100;-;72;14;-;0;1023;-;1019;-;0.00;-
1999;10;10;13;12;10;11;10;9;100;-;77;32;-;8;1020;-;1017;-;0.00;-
1999;10;11;18;14;10;12;11;8;94;-;63;34;-;0;1024;-;1013;-;0.00;-
1999;10;12;18;12;6;12;10;6;100;-;59;21;-;0;1026;-;1024;-;0.00;-
1999;10;13;16;9;3;9;7;3;100;-;59;14;-;0;1027;-;1023;-;0.00;-
1999;10;14;14;8;2;7;5;1;100;-;58;37;-;0;1023;-;1016;-;0.00;-
1999;10;15;13;8;3;7;4;1;100;-;54;29;-;2;1019;-;1015;-;0.00;-
